   520 			 x 					  y						 z 					area 
     1 -4.500000e+00 -2.550000e+01 0.000000e+00 1.000000e+00
     2 -4.500000e+00 -2.450000e+01 0.000000e+00 1.000000e+00
     3 -4.500000e+00 -2.350000e+01 0.000000e+00 1.000000e+00
     4 -4.500000e+00 -2.250000e+01 0.000000e+00 1.000000e+00
     5 -4.500000e+00 -2.150000e+01 0.000000e+00 1.000000e+00
     6 -4.500000e+00 -2.050000e+01 0.000000e+00 1.000000e+00
     7 -4.500000e+00 -1.950000e+01 0.000000e+00 1.000000e+00
     8 -4.500000e+00 -1.850000e+01 0.000000e+00 1.000000e+00
     9 -4.500000e+00 -1.750000e+01 0.000000e+00 1.000000e+00
    10 -4.500000e+00 -1.650000e+01 0.000000e+00 1.000000e+00
    11 -4.500000e+00 -1.550000e+01 0.000000e+00 1.000000e+00
    12 -4.500000e+00 -1.450000e+01 0.000000e+00 1.000000e+00
    13 -4.500000e+00 -1.350000e+01 0.000000e+00 1.000000e+00
    14 -4.500000e+00 -1.250000e+01 0.000000e+00 1.000000e+00
    15 -4.500000e+00 -1.150000e+01 0.000000e+00 1.000000e+00
    16 -4.500000e+00 -1.050000e+01 0.000000e+00 1.000000e+00
    17 -4.500000e+00 -9.500000e+00 0.000000e+00 1.000000e+00
    18 -4.500000e+00 -8.500000e+00 0.000000e+00 1.000000e+00
    19 -4.500000e+00 -7.500000e+00 0.000000e+00 1.000000e+00
    20 -4.500000e+00 -6.500000e+00 0.000000e+00 1.000000e+00
    21 -4.500000e+00 -5.500000e+00 0.000000e+00 1.000000e+00
    22 -4.500000e+00 -4.500000e+00 0.000000e+00 1.000000e+00
    23 -4.500000e+00 -3.500000e+00 0.000000e+00 1.000000e+00
    24 -4.500000e+00 -2.500000e+00 0.000000e+00 1.000000e+00
    25 -4.500000e+00 -1.500000e+00 0.000000e+00 1.000000e+00
    26 -4.500000e+00 -5.000000e-01 0.000000e+00 1.000000e+00
    27 -4.500000e+00 5.000000e-01 0.000000e+00 1.000000e+00
    28 -4.500000e+00 1.500000e+00 0.000000e+00 1.000000e+00
    29 -4.500000e+00 2.500000e+00 0.000000e+00 1.000000e+00
    30 -4.500000e+00 3.500000e+00 0.000000e+00 1.000000e+00
    31 -4.500000e+00 4.500000e+00 0.000000e+00 1.000000e+00
    32 -4.500000e+00 5.500000e+00 0.000000e+00 1.000000e+00
    33 -4.500000e+00 6.500000e+00 0.000000e+00 1.000000e+00
    34 -4.500000e+00 7.500000e+00 0.000000e+00 1.000000e+00
    35 -4.500000e+00 8.500000e+00 0.000000e+00 1.000000e+00
    36 -4.500000e+00 9.500000e+00 0.000000e+00 1.000000e+00
    37 -4.500000e+00 1.050000e+01 0.000000e+00 1.000000e+00
    38 -4.500000e+00 1.150000e+01 0.000000e+00 1.000000e+00
    39 -4.500000e+00 1.250000e+01 0.000000e+00 1.000000e+00
    40 -4.500000e+00 1.350000e+01 0.000000e+00 1.000000e+00
    41 -4.500000e+00 1.450000e+01 0.000000e+00 1.000000e+00
    42 -4.500000e+00 1.550000e+01 0.000000e+00 1.000000e+00
    43 -4.500000e+00 1.650000e+01 0.000000e+00 1.000000e+00
    44 -4.500000e+00 1.750000e+01 0.000000e+00 1.000000e+00
    45 -4.500000e+00 1.850000e+01 0.000000e+00 1.000000e+00
    46 -4.500000e+00 1.950000e+01 0.000000e+00 1.000000e+00
    47 -4.500000e+00 2.050000e+01 0.000000e+00 1.000000e+00
    48 -4.500000e+00 2.150000e+01 0.000000e+00 1.000000e+00
    49 -4.500000e+00 2.250000e+01 0.000000e+00 1.000000e+00
    50 -4.500000e+00 2.350000e+01 0.000000e+00 1.000000e+00
    51 -4.500000e+00 2.450000e+01 0.000000e+00 1.000000e+00
    52 -4.500000e+00 2.550000e+01 0.000000e+00 1.000000e+00
    53 -3.500000e+00 -2.550000e+01 0.000000e+00 1.000000e+00
    54 -3.500000e+00 -2.450000e+01 0.000000e+00 1.000000e+00
